difficulty,task_id,model_family,model_name,run_times,max_turns,failure_num,num_correct,total_samples,accuracy,,,,,
easy,horizontal_projectile_infheight,gemini,gemini-2.5-flash_thinking,run_1,8.5,0,6,6,1,526.4444444,,,,
easy,freefall_inelastic_collision,gemini,gemini-2.5-flash_thinking,run_1,9.5,0,1,6,0.166666667,666.6666667,,,,
hard,bullet_object,gemini,gemini-2.5-flash_thinking,run_1,9.5,0,2,6,0.333333333,11490,,0.375,,5316.034314
hard,river_boat,gemini,gemini-2.5-flash_thinking,run_1,9.5,0,5,6,0.833333333,3232.944444,,,,
hard,incline_plane_block,gemini,gemini-2.5-flash_thinking,run_1,9.5,0,2,6,0.333333333,7781.882353,,,,
hard,three_balls_collision,gemini,gemini-2.5-flash_thinking,run_1,9.5,0,4,6,0.666666667,3029.058824,,,,
hard,double_pendulum,gemini,gemini-2.5-flash_thinking,run_1,9.5,0,0,6,0,3716.166667,,,,
hard,harmonic_friction,gemini,gemini-2.5-flash_thinking,run_1,9.5,0,0,6,0,3295.833333,,,,
hard,ball_air_resistance,gemini,gemini-2.5-flash_thinking,run_1,9.5,0,1,6,0.166666667,4456.5,,,,
hard,balls_collision,gemini,gemini-2.5-flash_thinking,run_1,9.5,0,4,6,0.666666667,5525.888889,,,,
